Časová značka,Tweet link,Mainnet address to be rewarded,,Real/Bot,Reason,Last 7 tweets
4/15/2023 7:52:23,https://twitter.com/dangtra67960370/status/1647115479704834052,0x04b5f07ca8e14f670c2b2de2ff2b28349c44efd5e5ec14cde82ed3a5b7ad986a,,Bot,#,#
4/15/2023 7:59:41,https://twitter.com/hanam18703251/status/1647117282542518272,0x0119777513a7b45d71b012830ad7794321e7d8afd93d34fc380f7c74e2ed1705,,Bot,#,#
4/15/2023 8:10:08,https://twitter.com/hoanam08624219/status/1647119868347695105,0x00ae0b6cceac871df19cb68c20f36a3a9d72640c227fe509efbd856b7bf7f306,,Bot,#,#
4/15/2023 8:20:43,https://twitter.com/thanhnh96109956/status/1647122513007353859,0x029832ce7634275b9ffde20b106a2247d1668efa6ef094f1b588be2ac13d3d86,,Bot,#,#
4/15/2023 8:28:01,https://twitter.com/trungki69655118/status/1647124451354636289,0x025e8d594bc885ea9ca66e97ea97fd16d214a04282e2b8092ccde503e74bc3a4,,Bot,#,#
4/15/2023 8:37:15,https://twitter.com/trannha65395380/status/1647126763263381504,0x0589661d5ae354b07e2ca49e7b1b3d5ff589e8f8be0d2809288be3dcd0622451,,Bot,#,#
4/15/2023 8:49:00,https://twitter.com/dotien39783530/status/1647129635468214274,0x05427ca801c0f0a0bd1ea933773ff6c0bb960558381e2849347b6cd15ac89e59,,Bot,#,#
4/15/2023 8:58:38,https://twitter.com/lehoa61854548/status/1647132072182685697,0x0339cc6843f65b5c9dd2c4f465066ae4d737a3ed52e50b3831f4abe86da205dd,,Bot,#,#
4/15/2023 9:07:49,https://twitter.com/lehang21787100/status/1647134423983472645,0x03fda33cf16020cf3c344ec3ab94c3712080e3c6c9ca7bd63e8484310b57ad7b,,Bot,#,#
4/15/2023 9:18:09,https://twitter.com/trandoa67003574/status/1647136920500142085,0x00733e46fd94b1896448f11dd99e6a8a737bf6856662ced317b0ba4d439e4a1b,,Bot,#,#
4/15/2023 9:30:28,https://twitter.com/tranhun00406113/status/1647140034502606850,0x06140a06c0cf8062ce2cf6a7466b24ed9d97ca4e2b5d73b8e338fb158f4ea485,,Bot,#,#
4/15/2023 9:44:23,https://twitter.com/lehoang27322315/status/1647143507759333379,0x0270bfe24bffc506f2a4f8773bf83f94446ef1a45afae49d2e026a7f8a2251b5,,Bot,#,#
4/15/2023 9:58:23,https://twitter.com/dohung41570065/status/1647147078555140097,0x061e4790e9089a1c475fb947223d64648f518cbc34a409db9aa21f5238e282de,,Bot,#,#
4/15/2023 10:06:04,https://twitter.com/TRANTOA82446640/status/1647149063668912128,0x07c2e485f919c271aa9acbed24d0e098b7860aed9c07bbac16997c51ebd0adf1,,Bot,#,#
4/15/2023 10:17:34,https://twitter.com/THAILAN57501909/status/1647151972066402304,0x02a032ce5afca72a61bc64451472d29d55ca5dfc27f661fffb343935d5162672,,Bot,#,#
4/15/2023 10:32:16,https://twitter.com/TRINHLAI3/status/1647155647811817472,0x06ccae064dca66756356b1464230662c0b541a784a6a557bd775ccd59de314b4,,Bot,#,#
4/15/2023 10:42:52,https://twitter.com/LaiTring/status/1647158341993664515,0x009459d0931ec71aa019f16e59860289e47309b7a8941b51f7fd592919727c19,,Bot,#,#
4/15/2023 10:54:26,https://twitter.com/HAQUANG88260301/status/1647161134104059904,0x062c3e99fc6d65cda2de822374be5419de676a3152d0a52dc251fefb8535b03a,,Bot,#,#
